location,technology,rep_period,time_step,scenario,production
AUS,WindOn,1,1,1982,1998.3672636253318
AUS,WindOn,1,2,1982,2086.9972849701853
AUS,WindOn,1,3,1982,2182.096474364299
AUS,WindOn,1,4,1982,2219.271709537088
AUS,WindOn,1,5,1982,2214.7261380670006
AUS,WindOn,1,6,1982,2210.4245249932596
AUS,WindOn,1,7,1982,2195.051211875812
AUS,WindOn,1,8,1982,2179.56441329011
AUS,WindOn,1,9,1982,2165.869915885939
AUS,WindOn,1,10,1982,2098.781624277111
AUS,WindOn,1,11,1982,1850.7082562067062
AUS,WindOn,1,12,1982,1776.0822835335018
AUS,WindOn,1,13,1982,1727.0487930257925
AUS,WindOn,1,14,1982,1658.1062853720205
AUS,WindOn,1,15,1982,1644.5696798371594
AUS,WindOn,1,16,1982,1707.5456701547569
AUS,WindOn,1,17,1982,1829.0090255595167
AUS,WindOn,1,18,1982,1963.7627343474967
AUS,WindOn,1,19,1982,2038.4431622080024
AUS,WindOn,1,20,1982,2019.8877148842116
AUS,WindOn,1,21,1982,1958.037260507325
AUS,WindOn,1,22,1982,1863.4660146255492
AUS,WindOn,1,23,1982,1849.62404000863
AUS,WindOn,1,24,1982,1873.9305485499883
AUS,WindOn,2,1,1982,8872.187450660917
AUS,WindOn,2,2,1982,9244.114057735576
AUS,WindOn,2,3,1982,9506.74341503183
AUS,WindOn,2,4,1982,9402.537496488434
AUS,WindOn,2,5,1982,9205.760975101444
AUS,WindOn,2,6,1982,9183.978702607235
AUS,WindOn,2,7,1982,9328.435417164557
AUS,WindOn,2,8,1982,9675.143180078858
AUS,WindOn,2,9,1982,9673.7516809144
AUS,WindOn,2,10,1982,9435.440329777804
AUS,WindOn,2,11,1982,9004.417542388617
AUS,WindOn,2,12,1982,8600.519822668331
AUS,WindOn,2,13,1982,8437.378553736058
AUS,WindOn,2,14,1982,8561.580774689353
AUS,WindOn,2,15,1982,8599.240944054749
AUS,WindOn,2,16,1982,8360.066308724425
AUS,WindOn,2,17,1982,8478.03824415134
AUS,WindOn,2,18,1982,8396.667042767256
AUS,WindOn,2,19,1982,8438.565244030571
AUS,WindOn,2,20,1982,8456.290501485997
AUS,WindOn,2,21,1982,8484.470761865012
AUS,WindOn,2,22,1982,8522.106167973963
AUS,WindOn,2,23,1982,8262.877001942918
AUS,WindOn,2,24,1982,8058.900635682372
AUS,WindOn,3,1,1982,4734.871965139805
AUS,WindOn,3,2,1982,4519.345894529053
AUS,WindOn,3,3,1982,4371.673196650037
AUS,WindOn,3,4,1982,4387.222370793298
AUS,WindOn,3,5,1982,4408.9879808668975
AUS,WindOn,3,6,1982,4510.358046736601
AUS,WindOn,3,7,1982,4798.657388540214
AUS,WindOn,3,8,1982,5035.189029714766
AUS,WindOn,3,9,1982,5122.533714187249
AUS,WindOn,3,10,1982,5091.112336582199
AUS,WindOn,3,11,1982,4946.005580335085
AUS,WindOn,3,12,1982,4939.2616728396815
AUS,WindOn,3,13,1982,5002.738225546953
AUS,WindOn,3,14,1982,5062.242690050158
AUS,WindOn,3,15,1982,4919.207192363439
AUS,WindOn,3,16,1982,4784.545183224174
AUS,WindOn,3,17,1982,4710.591540713835
AUS,WindOn,3,18,1982,4670.661972737178
AUS,WindOn,3,19,1982,4586.44636921285
AUS,WindOn,3,20,1982,4610.621884810114
AUS,WindOn,3,21,1982,4784.839758601753
AUS,WindOn,3,22,1982,5059.160320079506
AUS,WindOn,3,23,1982,5465.380217954363
AUS,WindOn,3,24,1982,5954.573169255173
BEL,WindOn,1,1,1982,7590.410114242579
BEL,WindOn,1,2,1982,7586.751478745874
BEL,WindOn,1,3,1982,7756.416958912586
BEL,WindOn,1,4,1982,7763.4203515092695
BEL,WindOn,1,5,1982,7750.6370197336355
BEL,WindOn,1,6,1982,7635.760031298801
BEL,WindOn,1,7,1982,7491.28164706057
BEL,WindOn,1,8,1982,7516.701224187527
BEL,WindOn,1,9,1982,7521.842405156801
BEL,WindOn,1,10,1982,7333.104427990884
BEL,WindOn,1,11,1982,6549.226943289004
BEL,WindOn,1,12,1982,6009.657457402273
BEL,WindOn,1,13,1982,5527.75133311229
BEL,WindOn,1,14,1982,5264.842719250187
BEL,WindOn,1,15,1982,5288.720744076635
BEL,WindOn,1,16,1982,5381.690101593455
BEL,WindOn,1,17,1982,5851.208183408023
BEL,WindOn,1,18,1982,6580.552781449454
BEL,WindOn,1,19,1982,7120.424360732385
BEL,WindOn,1,20,1982,7432.309009795438
BEL,WindOn,1,21,1982,7619.497841590982
BEL,WindOn,1,22,1982,7777.273481986362
BEL,WindOn,1,23,1982,7578.147192099776
BEL,WindOn,1,24,1982,7576.102968915364
BEL,WindOn,2,1,1982,8056.996425544084
BEL,WindOn,2,2,1982,7113.204052499585
BEL,WindOn,2,3,1982,6625.85601768582
BEL,WindOn,2,4,1982,6639.49895975934
BEL,WindOn,2,5,1982,6429.870157880935
BEL,WindOn,2,6,1982,6561.731536500502
BEL,WindOn,2,7,1982,7164.383498521019
BEL,WindOn,2,8,1982,7837.859330987001
BEL,WindOn,2,9,1982,8108.614212699322
BEL,WindOn,2,10,1982,7665.517609396592
BEL,WindOn,2,11,1982,5600.100193867079
BEL,WindOn,2,12,1982,5048.01254819716
BEL,WindOn,2,13,1982,4940.5971222180415
BEL,WindOn,2,14,1982,5257.085329246059
BEL,WindOn,2,15,1982,5735.061348027494
BEL,WindOn,2,16,1982,6034.23476549657
BEL,WindOn,2,17,1982,6101.208743426981
BEL,WindOn,2,18,1982,6546.630369260691
BEL,WindOn,2,19,1982,6973.462301155537
BEL,WindOn,2,20,1982,7313.1341375634265
BEL,WindOn,2,21,1982,7699.054034539804
BEL,WindOn,2,22,1982,7702.511894766286
BEL,WindOn,2,23,1982,7064.261775108997
BEL,WindOn,2,24,1982,6863.559299108823
BEL,WindOn,3,1,1982,11538.358044434925
BEL,WindOn,3,2,1982,11576.425023320458
BEL,WindOn,3,3,1982,11775.635854318973
BEL,WindOn,3,4,1982,11896.322518877736
BEL,WindOn,3,5,1982,12011.59648636965
BEL,WindOn,3,6,1982,12125.291368036073
BEL,WindOn,3,7,1982,12456.857163479126
BEL,WindOn,3,8,1982,13036.380392151663
BEL,WindOn,3,9,1982,13695.943990389947
BEL,WindOn,3,10,1982,13920.477610550284
BEL,WindOn,3,11,1982,14100.050273455914
BEL,WindOn,3,12,1982,14250.26575595245
BEL,WindOn,3,13,1982,14165.056446991839
BEL,WindOn,3,14,1982,14049.02664517275
BEL,WindOn,3,15,1982,14091.951475290474
BEL,WindOn,3,16,1982,14049.98078086695
BEL,WindOn,3,17,1982,14097.34246126987
BEL,WindOn,3,18,1982,14456.647255345755
BEL,WindOn,3,19,1982,14796.016315745457
BEL,WindOn,3,20,1982,14723.062473046628
BEL,WindOn,3,21,1982,14346.622706714532
BEL,WindOn,3,22,1982,14051.586052463203
BEL,WindOn,3,23,1982,13456.055176997894
BEL,WindOn,3,24,1982,13351.667945030369
BLK,Nuclear,1,1,1982,2416.4033879400886
BLK,Nuclear,1,2,1982,2501.1396686909075
BLK,Nuclear,1,3,1982,1882.7128096502233
BLK,Nuclear,1,4,1982,4482.712809650224
BLK,Nuclear,1,5,1982,5538.665271787409
BLK,Nuclear,1,6,1982,8138.665271787409
BLK,Nuclear,1,7,1982,9961.159882633536
BLK,Nuclear,1,8,1982,11876.326560130066
BLK,Nuclear,1,9,1982,12447.065607443023
BLK,Nuclear,1,10,1982,12680.363721563914
BLK,Nuclear,1,11,1982,13000.0
BLK,Nuclear,1,12,1982,13000.0
BLK,Nuclear,1,13,1982,10400.0
BLK,Nuclear,1,14,1982,8931.544492162757
BLK,Nuclear,1,15,1982,10653.602143002172
BLK,Nuclear,1,16,1982,11758.222713863117
BLK,Nuclear,1,17,1982,13000.0
BLK,Nuclear,1,18,1982,13000.0
BLK,Nuclear,1,19,1982,12317.092913582117
BLK,Nuclear,1,20,1982,11036.130640458032
BLK,Nuclear,1,21,1982,9032.464088133354
BLK,Nuclear,1,22,1982,7387.432083374169
BLK,Nuclear,1,23,1982,5521.962165718474
BLK,Nuclear,1,24,1982,3497.2996324914056
BLK,Nuclear,2,7,1982,2076.4842103521332
BLK,Nuclear,2,8,1982,3139.4209059213463
BLK,Nuclear,2,9,1982,5338.408473354222
BLK,Nuclear,2,10,1982,2738.408473354222
BLK,Nuclear,2,11,1982,2500.4624918583395
BLK,Nuclear,2,17,1982,877.0749151953128
BLK,Nuclear,2,18,1982,3477.0749151953128
BLK,Nuclear,2,19,1982,5054.223294625965
BLK,Nuclear,2,20,1982,2454.223294625965
BLK,Nuclear,3,1,1982,8341.681971167352
BLK,Nuclear,3,2,1982,5741.6819711673525
BLK,Nuclear,3,3,1982,7442.490136505909
BLK,Nuclear,3,4,1982,8052.701706357271
BLK,Nuclear,3,5,1982,10047.734379843707
BLK,Nuclear,3,6,1982,12647.734379843707
BLK,Nuclear,3,7,1982,13000.0
BLK,Nuclear,3,8,1982,13000.0
BLK,Nuclear,3,9,1982,12284.26039251011
BLK,Nuclear,3,10,1982,12534.85747742733
BLK,Nuclear,3,11,1982,11626.944996065611
BLK,Nuclear,3,12,1982,12339.6254834779
BLK,Nuclear,3,13,1982,9739.6254834779
BLK,Nuclear,3,14,1982,12339.6254834779
BLK,Nuclear,3,15,1982,12264.448083773055
BLK,Nuclear,3,16,1982,13000.0
BLK,Nuclear,3,17,1982,13000.0
BLK,Nuclear,3,18,1982,13000.0
BLK,Nuclear,3,19,1982,13000.0
BLK,Nuclear,3,20,1982,13000.0
BLK,Nuclear,3,21,1982,12739.436797024062
BLK,Nuclear,3,22,1982,10623.836406723536
BLK,Nuclear,3,23,1982,10641.434018849966
BLK,Nuclear,3,24,1982,8041.434018849966
BLK,WindOn,1,1,1982,18950.90725192928
BLK,WindOn,1,2,1982,18969.69222728447
BLK,WindOn,1,3,1982,19145.266190113372
BLK,WindOn,1,4,1982,19309.56238758209
BLK,WindOn,1,5,1982,19689.63522947639
BLK,WindOn,1,6,1982,19926.972611954185
BLK,WindOn,1,7,1982,19964.39263502812
BLK,WindOn,1,8,1982,19806.86915810632
BLK,WindOn,1,9,1982,19937.088691887315
BLK,WindOn,1,10,1982,20022.346715717875
BLK,WindOn,1,11,1982,18791.98916308482
BLK,WindOn,1,12,1982,19571.652666774215
BLK,WindOn,1,13,1982,20635.825640386818
BLK,WindOn,1,14,1982,21236.958602706636
BLK,WindOn,1,15,1982,21282.116336685398
BLK,WindOn,1,16,1982,21181.926036093824
BLK,WindOn,1,17,1982,21772.14487902864
BLK,WindOn,1,18,1982,22386.85350550475
BLK,WindOn,1,19,1982,22740.56505715525
BLK,WindOn,1,20,1982,22446.439187123084
BLK,WindOn,1,21,1982,22197.37058426006
BLK,WindOn,1,22,1982,22124.32713668091
BLK,WindOn,1,23,1982,21537.997608827794
BLK,WindOn,1,24,1982,21903.87874728692
BLK,WindOn,2,1,1982,20174.200306480583
BLK,WindOn,2,2,1982,20267.987066313566
BLK,WindOn,2,3,1982,20478.628493048487
BLK,WindOn,2,4,1982,20822.46407658047
BLK,WindOn,2,5,1982,20470.65680669065
BLK,WindOn,2,6,1982,20713.65315017583
BLK,WindOn,2,7,1982,21421.356004309844
BLK,WindOn,2,8,1982,22150.07336574621
BLK,WindOn,2,9,1982,22914.294162248338
BLK,WindOn,2,10,1982,24058.21574377371
BLK,WindOn,2,11,1982,25301.928702234967
BLK,WindOn,2,12,1982,27280.352973780162
BLK,WindOn,2,13,1982,28510.02736408962
BLK,WindOn,2,14,1982,28274.39221300118
BLK,WindOn,2,15,1982,28241.25709902382
BLK,WindOn,2,16,1982,28374.282199413952
BLK,WindOn,2,17,1982,27301.944858594674
BLK,WindOn,2,18,1982,27140.26045048229
BLK,WindOn,2,19,1982,26039.885389571424
BLK,WindOn,2,20,1982,25174.406314646818
BLK,WindOn,2,21,1982,24581.349778237436
BLK,WindOn,2,22,1982,24363.335010153805
BLK,WindOn,2,23,1982,25108.879208543753
BLK,WindOn,2,24,1982,24234.708423137694
BLK,WindOn,3,1,1982,16170.966949489695
BLK,WindOn,3,2,1982,16414.198813914936
BLK,WindOn,3,3,1982,16584.41717851542
BLK,WindOn,3,4,1982,16393.595667035628
BLK,WindOn,3,5,1982,16041.250612598502
BLK,WindOn,3,6,1982,15695.639575126415
BLK,WindOn,3,7,1982,15337.362123908433
BLK,WindOn,3,8,1982,14592.56690897265
BLK,WindOn,3,9,1982,13962.391596711199
BLK,WindOn,3,10,1982,13905.050618366911
BLK,WindOn,3,11,1982,14309.07153594318
BLK,WindOn,3,12,1982,14877.806970379825
BLK,WindOn,3,13,1982,15447.900758104783
BLK,WindOn,3,14,1982,15141.155683068235
BLK,WindOn,3,15,1982,14713.326442840487
BLK,WindOn,3,16,1982,14291.044170259824
BLK,WindOn,3,17,1982,13962.496293505454
BLK,WindOn,3,18,1982,13443.373150495365
BLK,WindOn,3,19,1982,13054.312115827159
BLK,WindOn,3,20,1982,12131.447884671408
BLK,WindOn,3,21,1982,11268.226132125752
BLK,WindOn,3,22,1982,10752.317694839161
BLK,WindOn,3,23,1982,11053.444583073397
BLK,WindOn,3,24,1982,10886.83571993927
BLT,WindOn,1,1,1982,2144.297945287663
BLT,WindOn,1,2,1982,2063.8248349771225
BLT,WindOn,1,3,1982,1977.7737068031322
BLT,WindOn,1,4,1982,1952.7711787905623
BLT,WindOn,1,5,1982,1928.9121765115035
BLT,WindOn,1,6,1982,1913.3872382641857
BLT,WindOn,1,7,1982,1855.3250102666743
BLT,WindOn,1,8,1982,1838.8054880858479
BLT,WindOn,1,9,1982,1864.6942946393028
BLT,WindOn,1,10,1982,1877.0171143296127
BLT,WindOn,1,11,1982,1958.1658640849614
BLT,WindOn,1,12,1982,1986.9274749076528
BLT,WindOn,1,13,1982,1994.9280652759628
BLT,WindOn,1,14,1982,1990.7921785162432
BLT,WindOn,1,15,1982,2024.0736052036034
BLT,WindOn,1,16,1982,2045.7161258117887
BLT,WindOn,1,17,1982,2023.6569191399797
BLT,WindOn,1,18,1982,1986.03693526786
BLT,WindOn,1,19,1982,1965.6987064090508
BLT,WindOn,1,20,1982,1945.0959324900823
BLT,WindOn,1,21,1982,1939.2764491962741
BLT,WindOn,1,22,1982,1949.3353255155564
BLT,WindOn,1,23,1982,2079.969122963465
BLT,WindOn,1,24,1982,2017.9189950277168
BLT,WindOn,2,1,1982,3461.2706417492136
BLT,WindOn,2,2,1982,3901.269690366244
BLT,WindOn,2,3,1982,3877.204080265746
BLT,WindOn,2,4,1982,1279.5074836943381
BLT,WindOn,2,5,1982,2717.9655819477457
BLT,WindOn,2,6,1982,4381.523257483496
BLT,WindOn,2,7,1982,1682.4864839349384
BLT,WindOn,2,8,1982,3882.1126769929156
BLT,WindOn,2,9,1982,3933.727374190451
BLT,WindOn,2,10,1982,3904.0053901228907
BLT,WindOn,2,11,1982,1827.412628087392
BLT,WindOn,2,12,1982,3259.883098241916
BLT,WindOn,2,13,1982,1874.6827542449578
BLT,WindOn,2,14,1982,3281.1615121491336
BLT,WindOn,2,15,1982,3343.068793835946
BLT,WindOn,2,16,1982,2020.122478763758
BLT,WindOn,2,17,1982,3498.6866775080507
BLT,WindOn,2,18,1982,3475.316487816398
BLT,WindOn,2,19,1982,3440.0030100346203
BLT,WindOn,2,20,1982,2023.3544474985015
BLT,WindOn,2,21,1982,3325.8104426348327
BLT,WindOn,2,22,1982,1784.4854736679608
BLT,WindOn,2,23,1982,4430.629786906322
BLT,WindOn,2,24,1982,4365.525890585872
BLT,WindOn,3,1,1982,2009.553514546977
BLT,WindOn,3,2,1982,2030.8878150969717
BLT,WindOn,3,3,1982,2094.6173442843256
BLT,WindOn,3,4,1982,2223.7096784253754
BLT,WindOn,3,5,1982,2373.8660444031493
BLT,WindOn,3,6,1982,2540.311340074103
BLT,WindOn,3,7,1982,2689.1953815772667
BLT,WindOn,3,8,1982,2786.3719663836005
BLT,WindOn,3,9,1982,2837.527262413243
BLT,WindOn,3,10,1982,2769.0402657075247
BLT,WindOn,3,11,1982,2785.2298290083036
BLT,WindOn,3,12,1982,2718.218440419781
BLT,WindOn,3,13,1982,2650.917851369146
BLT,WindOn,3,14,1982,2553.1192138788924
BLT,WindOn,3,15,1982,2507.735228823652
BLT,WindOn,3,16,1982,2497.4658809517305
BLT,WindOn,3,17,1982,2512.211849622129
BLT,WindOn,3,18,1982,2501.1263796842436
BLT,WindOn,3,19,1982,2521.318690980473
BLT,WindOn,3,20,1982,2529.7884063430656
BLT,WindOn,3,21,1982,2521.9006162583173
BLT,WindOn,3,22,1982,2469.1144206469794
BLT,WindOn,3,23,1982,2426.8695345480096
BLT,WindOn,3,24,1982,2376.7790631796724
CZE,Nuclear,1,1,1982,7608.657415030894
CZE,Nuclear,1,2,1982,6930.010146036114
CZE,Nuclear,1,3,1982,7146.295009622698
CZE,Nuclear,1,4,1982,6932.047027550175
CZE,Nuclear,1,5,1982,7046.288718364879
CZE,Nuclear,1,6,1982,7890.037790738195
CZE,Nuclear,1,7,1982,7691.5425070188685
CZE,Nuclear,1,8,1982,8000.000000000004
CZE,Nuclear,1,9,1982,8000.000000000004
CZE,Nuclear,1,10,1982,8000.000000000004
CZE,Nuclear,1,11,1982,8000.000000000004
CZE,Nuclear,1,12,1982,8000.000000000004
CZE,Nuclear,1,13,1982,8000.000000000006
CZE,Nuclear,1,14,1982,8000.000000000004
CZE,Nuclear,1,15,1982,8000.000000000002
CZE,Nuclear,1,16,1982,8000.000000000004
CZE,Nuclear,1,17,1982,8000.000000000004
CZE,Nuclear,1,18,1982,8000.000000000004
CZE,Nuclear,1,19,1982,8000.000000000004
CZE,Nuclear,1,20,1982,8000.000000000004
CZE,Nuclear,1,21,1982,8000.000000000004
CZE,Nuclear,1,22,1982,8000.000000000004
CZE,Nuclear,1,23,1982,7639.269654270001
CZE,Nuclear,1,24,1982,8000.000000000004
CZE,Nuclear,2,6,1982,1600.0000000000007
CZE,Nuclear,2,7,1982,3200.0000000000014
CZE,Nuclear,2,8,1982,4800.000000000002
CZE,Nuclear,2,9,1982,6400.000000000003
CZE,Nuclear,2,10,1982,4983.406697469427
CZE,Nuclear,2,11,1982,6583.406697469428
CZE,Nuclear,2,12,1982,6511.534127522209
CZE,Nuclear,2,13,1982,6662.436096920158
CZE,Nuclear,2,14,1982,5641.535178206445
CZE,Nuclear,2,15,1982,6205.7972142739545
CZE,Nuclear,2,16,1982,6547.384317637308
CZE,Nuclear,2,17,1982,7999.999999999999
CZE,Nuclear,2,18,1982,8000.000000000004
CZE,Nuclear,2,19,1982,6887.833094457247
CZE,Nuclear,2,20,1982,7999.999999999998
CZE,Nuclear,2,21,1982,7364.618359441859
CZE,Nuclear,2,22,1982,5764.618359441858
CZE,Nuclear,2,23,1982,6081.106530138175
CZE,Nuclear,2,24,1982,5329.5481409809145
CZE,Nuclear,3,4,1982,1600.0000000000007
CZE,Nuclear,3,5,1982,3200.0000000000014
CZE,Nuclear,3,6,1982,4800.000000000002
CZE,Nuclear,3,7,1982,6400.000000000003
CZE,Nuclear,3,8,1982,8000.000000000004
CZE,Nuclear,3,9,1982,8000.000000000004
CZE,Nuclear,3,10,1982,8000.000000000004
CZE,Nuclear,3,11,1982,7516.268857309809
CZE,Nuclear,3,12,1982,8000.000000000004
CZE,Nuclear,3,13,1982,8000.000000000004
CZE,Nuclear,3,14,1982,8000.000000000004
CZE,Nuclear,3,15,1982,7507.97927315925
CZE,Nuclear,3,16,1982,7730.291318558175
CZE,Nuclear,3,17,1982,8000.000000000004
CZE,Nuclear,3,18,1982,8000.000000000004
CZE,Nuclear,3,19,1982,8000.000000000004
CZE,Nuclear,3,20,1982,6400.000000000003
CZE,Nuclear,3,21,1982,4800.000000000002
CZE,Nuclear,3,22,1982,3200.0000000000014
CZE,Nuclear,3,23,1982,1600.0000000000007
FIN,WindOff,1,1,1982,-1.4343495330097704e-12
FIN,WindOff,1,2,1982,-2.7284841053187847e-12
FIN,WindOff,1,4,1982,-9.094947017729282e-13
FIN,WindOff,1,8,1982,-9.094947017729282e-13
FIN,WindOn,1,1,1982,11348.554428378795
FIN,WindOn,1,2,1982,11315.371658439306
FIN,WindOn,1,3,1982,11367.875076817081
FIN,WindOn,1,4,1982,11536.972279988107
FIN,WindOn,1,5,1982,11880.786158826711
FIN,WindOn,1,6,1982,12023.995526358103
FIN,WindOn,1,7,1982,12090.633315409335
