method,clustering,blended,month,num_periods,avg_total_cost,time,scenario,scenario_cost
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1900,4.6968518250836575e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1982,3.8245768436854136e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1987,6.707527275921323e9
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1992,1.4327087907040586e10
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1995,1.7181399579138741e9
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1997,3.580928372664003e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2002,3.5259159962886655e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2008,3.4608114134701777e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2009,3.543076571091741e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2012,3.4918334344435275e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1900,4.8954823112288636e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1982,3.8237663418228656e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1987,7.846875454664661e9
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1992,1.5598194796178534e10
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1995,1.7181575563075817e9
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1997,3.580371751424288e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2002,3.5240999850195515e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2008,3.4621918475659317e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2009,3.541241970866471e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2012,3.4930511600479794e8
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1900,1.5871927339085379e10
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1982,1.0294798148601353e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1987,1.7128938463502016e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1992,5.061438859599502e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1995,3.3451509885128374e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1997,2.6252968888687415e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2002,1.3265299042372422e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2008,7.84200803232331e8
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2009,1.2161834684462886e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2012,1.9400438762037363e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1900,1.737526417587348e10
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1982,5.678986613310047e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1987,2.9146399458156013e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1992,7.297017656226619e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1995,2.965715827078408e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1997,2.004190833031238e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2002,6.24942301038675e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2008,4.04769967506957e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2009,8.435676180255151e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2012,1.5606005685244412e9
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1900,3.64181401683547e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1982,3.6615859312544835e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1987,8.006439976617337e9
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1992,1.7638994952972645e10
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1995,1.7301014595594473e9
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1997,5.097594179901104e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2002,3.6437337859898144e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2008,3.5815864588827807e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2009,3.657957628530139e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2012,3.612378150833678e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1900,4.168315103206291e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1982,3.602861627797718e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1987,7.824877311513287e9
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1992,1.740263310726301e10
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1995,1.7243038254603915e9
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1997,4.453096676798338e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2002,3.584114226987201e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2008,3.523831076459014e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2009,3.597601758307124e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2012,3.554877773542928e8
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1900,4.5635331463661415e10
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1982,9.551012900174463e9
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1987,2.4124969151944283e10
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1992,2.176644816162307e10
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1995,3.85191003892853e9
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1997,3.588927922497298e10
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,2002,7.014195944322093e9
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,2008,1.599491257096724e8
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,2009,2.4562967173820114e9
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,2012,1.1171001030071026e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,1900,2.6872574406746643e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,1982,1.6413375989607128e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,1987,6.801231782662036e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,1992,2.2689408489512993e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,1995,1.788920154486821e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,1997,6.363111601231376e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,2002,1.1021221850239218e10
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,2008,1.0594780998902397e8
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,2009,6.019412405650192e9
cross_scenario,k_means,false,1,100,2.5631913591354153e10,67.0973079,2012,2.366455957799398e10
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,1900,5.413528040708214e10
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,1982,1.1484970546430841e11
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,1987,1.565535573034481e11
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,1992,8.09111928593055e10
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,1995,8.033887012307762e10
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,1997,2.265492364518585e11
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,2002,5.366453982957681e10
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,2008,1.1304175316865137e10
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,2009,5.890914297349549e10
group_scenario,k_means,true,1,100,9.107898902197327e10,61.2470519,2012,7.357418949071495e10
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,1900,8.864085739724785e9
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,1982,5.1800104165466475e8
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,1987,6.22894170693943e9
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,1992,7.945227155462288e9
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,1995,4.276887177294775e8
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,1997,6.965689009922094e8
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,2002,6.066562863145452e8
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,2008,4.2599803513135165e8
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,2009,4.340821260718826e8
group_scenario,k_means,false,1,100,2.7932082482258797e9,97.265352,2012,1.7848327722381628e9
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,1900,1.1121273720282349e10
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,1982,8.673432806396e9
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,1987,2.2751079504316036e10
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,1992,1.9412373236895424e10
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,1995,6.300626964910012e9
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,1997,2.3965153795312836e10
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,2002,3.620281143126965e9
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,2008,1.869714946583471e8
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,2009,8.344524133781683e8
per_scenario,k_means,true,1,100,1.1110102211568483e10,68.6684066,2012,1.4235377036408669e10
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,1900,7.903243400320079e9
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,1982,1.0315507959480326e10
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,1987,4.3837477579951614e10
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,1992,2.179880274076024e10
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,1995,1.9750237049700993e10
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,1997,6.241919954741742e10
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,2002,6.408451334188737e9
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,2008,1.2930917356264992e8
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,2009,3.0172016960803742e9
per_scenario,k_means,false,1,100,2.0746712593516872e10,54.5973064,2012,3.1887695453706264e10
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,1900,1.5994978338186755e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,1982,1.5091150327239244e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,1987,1.6166648207246096e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,1992,3.1786739727369347e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,1995,1.862972707756168e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,1997,1.5937462661062746e10
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,2002,3.2598998179763155e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,2008,1.5005477320431776e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,2009,1.509827250500068e9
cross_scenario,k_medoids,true,1,100,4.0828243339533405e9,62.0664974,2012,8.853581510190783e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,1900,6.021190960595945e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,1982,1.5185354909905155e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,1987,1.7583499613051069e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,1992,3.188233208190797e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,1995,1.5263397789463947e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,1997,1.7905218728892155e10
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,2002,3.4669755427590594e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,2008,1.510438075340562e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,2009,1.683879261664077e9
cross_scenario,k_medoids,false,1,100,4.652082614745487e9,112.3720846,2012,7.9416651387702465e9
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,1900,1.4193406427648046e10
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,1982,2.7469777010189686e9
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,1987,1.5179746086583569e10
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,1992,2.4642820021750668e10
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,1995,1.8655074587653294e9
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,1997,1.4899771056455746e9
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,2002,1.840882818857018e9
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,2008,3.020813920286603e8
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,2009,3.19854082674331e8
group_scenario,k_medoids,true,1,100,6.780211452640712e9,70.9067667,2012,5.22086143143495e9
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,1900,3.657825891437275e9
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,1982,3.1271217155851996e8
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,1987,8.819339693780968e9
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,1992,1.423386059360244e10
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,1995,2.8909257569906654e9
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,1997,1.2570209595542414e9
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,2002,3.888502923630324e8
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,2008,3.044374029547844e8
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,2009,8.018823266877623e8
group_scenario,k_medoids,false,1,100,3.297433636013506e9,65.9275481,2012,3.074812712053717e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,1900,4.20563104481765e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,1982,4.265874018805237e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,1987,8.104648978224138e9
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,1992,1.7420619049914536e10
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,1995,3.441577483238298e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,1997,3.5396160773253024e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,2002,5.495388755098934e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,2008,3.4237205441934896e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,2009,3.502805105433619e8
per_scenario,k_medoids,true,1,100,3.044540548358967e9,63.9235394,2012,2.1326761525597463e9
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,1900,4.3938419792701125e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,1982,3.726255192814598e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,1987,7.196518920793889e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,1992,8.225312235752641e9
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,1995,3.663060544027837e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,1997,3.8622840004771745e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,2002,5.416067817932919e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,2008,3.6457282656382954e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,2009,3.725724239333091e8
per_scenario,k_medoids,false,1,100,1.3494450545945325e9,69.1420992,2012,1.7061902141638932e9
cross_scenario,convex_hull,true,1,50,5.081849345535501e9,39.3360742,1900,5.451725524601545e8
cross_scenario,convex_hull,true,1,50,5.081849345535501e9,39.3360742,1982,4.0074733983560133e8
cross_scenario,convex_hull,true,1,50,5.081849345535501e9,39.3360742,1987,7.8487398115897e9
